a,b,c,d,family
3,4,5,6,"A:(3,4,5,6)-multiple"
1,6,8,9,sporadic
3,10,18,19,sporadic
7,14,17,20,"B:Ramanujan(m,n)"
4,17,22,25,sporadic
18,19,21,28,"B:Ramanujan(m,n)"
11,15,27,29,sporadic
2,17,40,41,sporadic
6,32,33,41,sporadic
16,23,41,44,sporadic
3,36,37,46,"B:Ramanujan(m,n)"
27,30,37,46,"B:Ramanujan(m,n)"
29,34,44,53,sporadic
12,19,53,54,sporadic
15,42,49,58,"B:Ramanujan(m,n)"
22,51,54,67,sporadic
36,38,61,69,sporadic
7,54,57,70,"B:Ramanujan(m,n)"
14,23,70,71,sporadic
34,39,65,72,sporadic
38,43,66,75,sporadic
31,33,72,76,sporadic
25,48,74,81,sporadic
19,60,69,82,"B:Ramanujan(m,n)"
28,53,75,84,sporadic
50,61,64,85,sporadic
20,54,79,87,sporadic
26,55,78,87,sporadic
38,48,79,87,sporadic
21,43,84,88,sporadic
25,31,86,88,sporadic
17,40,86,89,sporadic
25,38,87,90,sporadic
58,59,69,90,"B:Ramanujan(m,n)"
32,54,85,93,sporadic
19,53,90,96,sporadic
45,69,79,97,sporadic
12,31,102,103,sporadic
33,70,92,105,sporadic
13,51,104,108,sporadic
15,82,89,108,"B:Ramanujan(m,n)"
29,75,96,110,sporadic
16,47,108,111,sporadic
50,74,97,113,sporadic
3,34,114,115,sporadic
23,86,97,116,"B:Ramanujan(m,n)"
9,55,116,120,sporadic
49,84,102,121,sporadic
19,92,101,122,"B:Ramanujan(m,n)"
44,51,118,123,sporadic
23,94,105,126,"B:Ramanujan(m,n)"
13,65,121,127,sporadic
38,57,124,129,sporadic
5,76,123,132,sporadic
86,95,97,134,"B:Ramanujan(m,n)"
44,73,128,137,sporadic
94,96,99,139,sporadic
72,85,122,141,sporadic
31,64,137,142,sporadic
1,71,138,144,sporadic
12,81,136,145,sporadic
22,75,140,147,sporadic
71,73,138,150,sporadic
46,47,148,151,sporadic
65,87,142,156,sporadic
3,121,131,159,sporadic
69,123,124,160,sporadic
59,93,148,162,sporadic
69,99,146,164,sporadic
12,86,159,167,sporadic
96,107,141,170,sporadic
54,80,163,171,sporadic
107,108,136,171,sporadic
1,135,138,172,"B:Ramanujan(m,n)"
47,97,162,174,sporadic
25,92,167,176,sporadic
48,137,142,177,sporadic
48,133,147,178,sporadic
17,57,177,179,sporadic
108,109,150,181,sporadic
57,68,180,185,sporadic
68,113,166,185,sporadic
18,121,167,186,sporadic
58,131,160,187,sporadic
115,122,149,188,"B:Ramanujan(m,n)"
21,46,188,189,sporadic
56,133,163,190,sporadic
39,146,156,191,sporadic
34,123,173,192,sporadic
25,68,190,193,sporadic
53,58,194,197,sporadic
27,46,197,198,sporadic
73,135,170,198,sporadic
6,127,180,199,sporadic
45,53,199,201,sporadic
76,141,171,202,sporadic
85,138,171,202,"B:Ramanujan(m,n)"
81,147,167,203,sporadic
108,142,165,205,sporadic
5,163,164,206,"B:Ramanujan(m,n)"
35,77,202,206,sporadic
57,146,180,209,sporadic
113,146,166,209,sporadic
42,83,205,210,sporadic
56,61,210,213,sporadic
16,51,213,214,sporadic
58,157,179,214,sporadic
46,126,201,217,sporadic
93,155,180,218,sporadic
140,151,161,218,"B:Ramanujan(m,n)"
50,67,216,219,sporadic
51,152,190,219,sporadic
67,167,177,219,sporadic
108,163,170,219,sporadic
31,95,219,225,sporadic
18,167,193,228,sporadic
76,165,192,229,sporadic
102,157,192,229,sporadic
56,102,223,231,sporadic
98,136,207,231,sporadic
103,140,204,231,sporadic
85,107,220,232,sporadic
123,125,208,234,sporadic
54,163,204,235,sporadic
78,172,195,235,sporadic
96,163,198,235,sporadic
147,157,186,238,sporadic
15,114,230,239,sporadic
23,178,200,239,sporadic
113,124,220,241,sporadic
73,174,207,244,"B:Ramanujan(m,n)"
113,166,207,246,"B:Ramanujan(m,n)"
4,57,248,249,sporadic
6,179,216,251,sporadic
163,164,197,254,"B:Ramanujan(m,n)"
9,58,255,256,sporadic
9,183,220,256,sporadic
22,57,255,256,sporadic
101,178,219,258,"B:Ramanujan(m,n)"
65,127,248,260,sporadic
19,93,258,262,sporadic
49,80,263,266,sporadic
66,117,260,269,sporadic
152,158,229,269,sporadic
23,102,265,270,sporadic
158,171,228,275,sporadic
71,150,262,279,sporadic
138,200,223,279,sporadic
50,172,257,281,sporadic
81,202,239,282,"B:Ramanujan(m,n)"
113,116,271,284,sporadic
95,196,248,287,sporadic
71,177,262,288,sporadic
57,126,280,289,sporadic
179,188,229,290,"B:Ramanujan(m,n)"
58,201,255,292,sporadic
106,227,229,292,sporadic
183,201,220,292,sporadic
8,229,236,293,sporadic
14,189,264,293,sporadic
159,214,228,295,sporadic
47,75,295,297,sporadic
15,64,297,298,sporadic
17,191,274,302,sporadic
23,81,300,302,sporadic
55,113,296,302,sporadic
145,179,267,303,sporadic
151,162,272,303,sporadic
53,153,291,305,sporadic
27,64,306,307,sporadic
7,119,303,309,sporadic
50,184,285,309,sporadic
93,242,244,309,sporadic
102,194,279,311,sporadic
15,213,281,317,sporadic
162,173,282,317,sporadic
73,120,314,321,sporadic
105,196,290,321,sporadic
152,219,270,323,sporadic
41,114,319,324,sporadic
102,227,277,324,sporadic
173,214,267,324,"B:Ramanujan(m,n)"
107,230,277,326,"B:Ramanujan(m,n)"
31,248,270,327,sporadic
44,199,300,327,sporadic
135,164,304,327,sporadic
144,227,277,330,sporadic
