a,b,c,d,primitive,family
3,4,5,6,1,"A:(3,4,5,6)-multiple"
1,6,8,9,1,sporadic
6,8,10,12,0,"A:(3,4,5,6)-multiple"
2,12,16,18,0,sporadic
9,12,15,18,0,"A:(3,4,5,6)-multiple"
3,10,18,19,1,sporadic
7,14,17,20,1,"B:Ramanujan(m,n)"
12,16,20,24,0,"A:(3,4,5,6)-multiple"
4,17,22,25,1,sporadic
3,18,24,27,0,sporadic
18,19,21,28,1,"B:Ramanujan(m,n)"
11,15,27,29,1,sporadic
15,20,25,30,0,"A:(3,4,5,6)-multiple"
4,24,32,36,0,sporadic
18,24,30,36,0,"A:(3,4,5,6)-multiple"
6,20,36,38,0,sporadic
14,28,34,40,0,"B:Ramanujan(m,n)"
2,17,40,41,1,sporadic
6,32,33,41,1,sporadic
21,28,35,42,0,"A:(3,4,5,6)-multiple"
16,23,41,44,1,sporadic
5,30,40,45,0,sporadic
3,36,37,46,1,"B:Ramanujan(m,n)"
27,30,37,46,1,"B:Ramanujan(m,n)"
24,32,40,48,0,"A:(3,4,5,6)-multiple"
8,34,44,50,0,sporadic
29,34,44,53,1,sporadic
6,36,48,54,0,sporadic
12,19,53,54,1,sporadic
27,36,45,54,0,"A:(3,4,5,6)-multiple"
36,38,42,56,0,"B:Ramanujan(m,n)"
9,30,54,57,0,sporadic
15,42,49,58,1,"B:Ramanujan(m,n)"
22,30,54,58,0,sporadic
21,42,51,60,0,"B:Ramanujan(m,n)"
30,40,50,60,0,"A:(3,4,5,6)-multiple"
7,42,56,63,0,sporadic
33,44,55,66,0,"A:(3,4,5,6)-multiple"
22,51,54,67,1,sporadic
36,38,61,69,1,sporadic
7,54,57,70,1,"B:Ramanujan(m,n)"
14,23,70,71,1,sporadic
8,48,64,72,0,sporadic
34,39,65,72,1,sporadic
36,48,60,72,0,"A:(3,4,5,6)-multiple"
12,51,66,75,0,sporadic
38,43,66,75,1,sporadic
12,40,72,76,0,sporadic
31,33,72,76,1,sporadic
39,52,65,78,0,"A:(3,4,5,6)-multiple"
28,56,68,80,0,"B:Ramanujan(m,n)"
9,54,72,81,0,sporadic
25,48,74,81,1,sporadic
4,34,80,82,0,sporadic
12,64,66,82,0,sporadic
19,60,69,82,1,"B:Ramanujan(m,n)"
28,53,75,84,1,sporadic
