d,a,b,c,residual_delta,is_exact_solution
10,4,6,9,9,0
20,7,14,17,0,1
30,15,20,25,0,1
40,14,28,34,0,1
50,8,34,44,0,1
60,21,42,51,0,1
70,7,54,57,0,1
80,28,56,68,0,1
90,10,60,80,0,1
100,16,68,88,0,1
110,29,75,96,0,1
120,9,55,116,0,1
130,48,88,112,8,0
140,14,108,114,0,1
150,24,102,132,0,1
160,56,112,136,0,1
170,96,107,141,0,1
180,20,120,160,0,1
190,30,100,180,0,1
200,32,136,176,0,1
210,21,162,171,0,1
220,58,150,192,0,1
230,6,68,228,0,1
240,18,110,232,0,1
250,40,170,220,0,1
260,65,127,248,0,1
270,23,102,265,0,1
280,28,216,228,0,1
290,24,162,272,0,1
300,48,204,264,0,1
310,37,211,273,1,0
320,112,224,272,0,1
330,87,225,288,0,1
340,3,214,309,0,1
350,35,270,285,0,1
360,27,165,348,0,1
370,114,136,360,0,1
380,60,200,360,0,1
390,195,260,325,0,1
400,38,295,337,0,1
410,20,170,400,0,1
420,42,324,342,0,1
430,276,303,313,0,1
440,105,215,420,0,1
450,50,300,400,0,1
460,12,136,456,0,1
470,108,326,408,0,1
480,36,220,464,0,1
490,49,378,399,0,1
500,42,329,447,0,1
